CIDOC_Class,BM_string_real,uri_target_string,URI_Link
E39_Actor,Mrs Mary E Walker,,http://vocab.getty.edu/page/Q2418031
E39_Actor,Mustriki Singis,,
E39_Actor,Narmer,,http://vocab.getty.edu/page/Q189582
E39_Actor,Nefer,,http://vocab.getty.edu/page/Q1800518
E39_Actor,Neithotep,,http://vocab.getty.edu/page/Q255585
E39_Actor,Neumark,,
E39_Actor,Parkinson,,http://vocab.getty.edu/page/Q87256234
E39_Actor,Peet,,http://vocab.getty.edu/page/Q2269194
E39_Actor,Percy Edward Newberry,,http://vocab.getty.edu/page/Q1860948
E39_Actor,Petrie,,https://archives.arce.org/louvre-egy/actor/petrie-william-matthew-flinders
E39_Actor,Prof John Garstang,,http://vocab.getty.edu/page/Q733602
E39_Actor,Prof Walter B Emery,,http://vocab.getty.edu/page/Q343387
E39_Actor,Qaa,,https://archives.arce.org/louvre-egy/actor/qaa
E39_Actor,Quirke,,https://archives.arce.org/louvre-egy/actor/stephen-g-quirke
E39_Actor,R J Moss & Co,,
E39_Actor,Rev Chauncey Murch,,http://vocab.getty.edu/page/Q115751531
E39_Actor,Rev George Denis Nash,,http://vocab.getty.edu/page/Q112499532
E39_Actor,Rev Walter L Lawson,,
E39_Actor,Rev William MacGregor,,http://vocab.getty.edu/page/Q18880356
E39_Actor,Rev. Greville John Chester,,http://vocab.getty.edu/page/Q15732077
E39_Actor,Russmann,Edna Russmann,
E39_Actor,Sabu,,
E39_Actor,Semerkhet,,https://archives.arce.org/louvre-egy/actor/semerkhet
E39_Actor,Sir Charles Holled Smith KCMG CB,,http://vocab.getty.edu/page/Q108162473
E39_Actor,Sir Ernest A T Wallis Budge,,http://vocab.getty.edu/page/Q2316289
E39_Actor,Sir Gaston C C Maspero,,http://vocab.getty.edu/page/Q311816
E39_Actor,Sir John Gardner Wilkinson,,http://vocab.getty.edu/page/Q923032
E39_Actor,Sir William Matthew Flinders Petrie,,https://archives.arce.org/louvre-egy/actor/william-matthew-flinders-petrie
E39_Actor,Sotheby's,,http://vocab.getty.edu/page/Q654762
E39_Actor,Spencer,,http://vocab.getty.edu/page/Q2830521
E39_Actor,Spink & Son Ltd,,http://vocab.getty.edu/page/Q11080868
E39_Actor,Strudwick,,http://vocab.getty.edu/page/Q111908363
E39_Actor,Taylor,,http://vocab.getty.edu/page/Q112483463
E39_Actor,The British Museum,,http://vocab.getty.edu/page/Q6373
E39_Actor,Thomas Eric Peet,,http://vocab.getty.edu/page/Q2269194
E39_Actor,University of Oxford,,http://vocab.getty.edu/page/Q34433
E39_Actor,Vandenbeusch,marie vandenbeusch,
E39_Actor,Victoria and Albert Museum,,http://vocab.getty.edu/page/Q213322
E39_Actor,W L O Campbell,,
E39_Actor,Walter Myers,,
E39_Actor,Wellcome Institute for the History of Medicine,,http://vocab.getty.edu/page/Q19600144
E39_Actor,Wepwawet,,http://vocab.getty.edu/page/Q372560
E4_Period,1st Dynasty,,http://thot.philo.ulg.ac.be/concept/thot-143
E4_Period,2nd Dynasty,,http://thot.philo.ulg.ac.be/concept/thot-153
E4_Period,A-Group Culture,,http://www.wikidata.org/entity/Q277797
E4_Period,Early Dynastic,,http://thot.philo.ulg.ac.be/concept/thot-142
E4_Period,First Intermediate,,http://thot.philo.ulg.ac.be/concept/thot-194
E4_Period,Late Predynastic,,
E4_Period,Levantine,,
E4_Period,Naqada II,,http://thot.philo.ulg.ac.be/concept/thot-134
E4_Period,Naqada III,,
E4_Period,Predynastic,,http://thot.philo.ulg.ac.be/concept/thot-126
E53_Place,Abydos,,http://www.wikidata.org/entity/Q192268
E53_Place,Akhmim,,http://vocab.getty.edu/page/Q340572
E53_Place,"Badari, el-",,http://vocab.getty.edu/page/Q5350647
E53_Place,"Ballas, el-",,http://vocab.getty.edu/page/Q805157
E53_Place,Edfu,,http://vocab.getty.edu/page/Q239107
E53_Place,Egypt,,http://vocab.getty.edu/page/Q79
E53_Place,Faras,,http://vocab.getty.edu/page/Q584387
E53_Place,Gebelein,,http://vocab.getty.edu/page/Q1496830
E53_Place,Hierakonpolis,,http://vocab.getty.edu/page/Q278988
E53_Place,Hiw,,http://vocab.getty.edu/page/Q11925976
E53_Place,Kom el-Ahmar,,http://vocab.getty.edu/page/Q11938511
E53_Place,Lower Egypt,,http://vocab.getty.edu/page/Q463871
E53_Place,"Mahasna, el-",,http://vocab.getty.edu/page/Q135684926
E53_Place,Maidum,,http://vocab.getty.edu/page/Q1066424
E53_Place,Memphis,,http://www.wikidata.org/entity/Q5715
E53_Place,Mostagedda,,http://vocab.getty.edu/page/Q3866147
E53_Place,Naqada,,http://vocab.getty.edu/page/Q959859
E53_Place,Not on display,,
E53_Place,Nubia,,http://vocab.getty.edu/page/Q135028
E53_Place,Qaw el-Kebir,,http://vocab.getty.edu/page/Q548283
E53_Place,Room 64 - Early Egypt,,
E53_Place,"Room 64 - Early Egypt, Display Case 1",,
E53_Place,"Room 64 - Early Egypt, Display Case 10",,
E53_Place,"Room 64 - Early Egypt, Display Case 12",,
E53_Place,"Room 64 - Early Egypt, Display Case 3",,
E53_Place,"Room 64 - Early Egypt, Display Case 4",,
E53_Place,"Room 64 - Early Egypt, Display Case 5",,
E53_Place,"Room 64 - Early Egypt, Display Case 6",,
E53_Place,"Room 64 - Early Egypt, Display Case 7",,
E53_Place,"Room 64 - Early Egypt, Display Case 8",,
E53_Place,"Room 64 - Early Egypt, Display Case 9",,
E53_Place,"Room 65 - Sudan, Egypt and Nubia, Dispaly Case 3",,
E53_Place,Saqqara,,http://vocab.getty.edu/page/Q192134
E53_Place,Tarkhan,,http://vocab.getty.edu/page/Q115314
E53_Place,Tell el-Yahudiya,,http://vocab.getty.edu/page/Q2372919
E53_Place,Temple of Osiris-Khentimentu,,
E53_Place,Thebes,,http://vocab.getty.edu/page/Q5760
E53_Place,Tomb of Aha,,https://archives.arce.org/louvre-egy/place/tombe-de-aha
E53_Place,Tomb of Anedjib,,http://vocab.getty.edu/page/Q569861
E53_Place,Tomb of Den,,https://archives.arce.org/louvre-egy/place/tombe-de-den
E53_Place,Tomb of Djer,,https://archives.arce.org/louvre-egy/place/tombe-de-djer
E53_Place,Tomb of Djet,,https://archives.arce.org/louvre-egy/place/tombe-de-djet
E53_Place,Tomb of Merneit,,
E53_Place,Tomb of Qaa,,
E53_Place,Tomb of Semerkhet,,
E53_Place,Umm el-Qaab,,http://www.wikidata.org/entity/Q853955
E53_Place,Upper Egypt,,http://www.wikidata.org/entity/Q203751
E55_Type,BM Number,,
E55_Type,Bequest,,http://vocab.getty.edu/aat/300417641
E55_Type,Denomination,,http://vocab.getty.edu/aat/300417208
E55_Type,Donation,,https://vocab.getty.edu/aat/300417638
E55_Type,Excavation/Discovery,,http://vocab.getty.edu/aat/300404386
E55_Type,Miscellaneous number,,
E55_Type,Previous Ownership/Excavator,,https://archives.arce.org/louvre-egy/type/previous-ownership-excavator
E55_Type,Previous owner/ex-collection number,,
E55_Type,Purchase,,http://vocab.getty.edu/aat/300417642
E55_Type,Registration Number,,
E55_Type,Weight,,
E55_Type,basketry,,http://vocab.getty.edu/page/aat%2F300404578
E55_Type,beaten,,https://vocab.getty.edu/aat/300389678
E55_Type,bent,,http://vocab.getty.edu/page/aat%2F300053101
E55_Type,bevelled,,http://vocab.getty.edu/page/aat%2F300053102
E55_Type,bored,,http://vocab.getty.edu/page/aat%2F300053151
E55_Type,burnished,,http://vocab.getty.edu/page/aat%2F300053869
E55_Type,carved,,http://vocab.getty.edu/page/aat%2F300053149
E55_Type,cast,,http://vocab.getty.edu/page/aat%2F300053104
E55_Type,cut,,http://vocab.getty.edu/page/aat%2F300053069
E55_Type,dowelled,,https://vocab.getty.edu/aat/300186243
E55_Type,drilled,,http://vocab.getty.edu/page/aat%2F300053151
E55_Type,dyed,,http://vocab.getty.edu/page/aat%2F300053049
E55_Type,flaked,,http://vocab.getty.edu/page/aat%2F300054129
E55_Type,folded,,http://vocab.getty.edu/page/aat%2F300247923
E55_Type,gilded,,http://vocab.getty.edu/page/aat%2F300053789
E55_Type,glazed,,http://vocab.getty.edu/page/aat%2F300053914
E55_Type,gold-plated,,http://vocab.getty.edu/page/aat%2F300389933
E55_Type,ground,,http://vocab.getty.edu/page/aat%2F300053090
E55_Type,hammered,,http://vocab.getty.edu/page/aat%2F300054098
E55_Type,handmade,,http://vocab.getty.edu/page/aat%2F300191818
E55_Type,impressed,,http://vocab.getty.edu/page/aat%2F300233405
E55_Type,incised,,http://vocab.getty.edu/aat/300186231
E55_Type,inlaid,,http://vocab.getty.edu/page/aat%2F300053850
E55_Type,looped,,
E55_Type,mould-made,,https://vocab.getty.edu/aat/300053134
E55_Type,painted,,https://archives.arce.org/louvre-egy/type/peinture
E55_Type,perforated,,http://vocab.getty.edu/page/aat%2F300192586
E55_Type,pierced,,http://vocab.getty.edu/page/aat%2F300231153
E55_Type,pigmented,,https://vocab.getty.edu/aat/300053498
E55_Type,polished,,https://vocab.getty.edu/aat/300053867
E55_Type,punched,,http://vocab.getty.edu/page/aat%2F300235631
E55_Type,retouched,,http://vocab.getty.edu/page/aat%2F300400661
E55_Type,sawn,,
E55_Type,scraped,,http://vocab.getty.edu/page/aat%2F300053711
E55_Type,scratched,,https://vocab.getty.edu/aat/300379457
E55_Type,slipped,,https://vocab.getty.edu/aat/300053907
E55_Type,stained,,https://vocab.getty.edu/aat/300053058
E55_Type,undercut,,http://vocab.getty.edu/page/aat%2F300242012
E55_Type,wheel-made,,
E57_Material,agate,,http://vocab.getty.edu/page/aat%2F300011135
E57_Material,andesite,,http://vocab.getty.edu/page/aat%2F300011213
E57_Material,aragonite,,http://vocab.getty.edu/page/aat%2F300380466
E57_Material,arsenical copper,,http://vocab.getty.edu/page/aat%2F300380293
E57_Material,basalt,,http://vocab.getty.edu/page/aat%2F300254696
E57_Material,bone,,http://vocab.getty.edu/page/aat%2F300011798
E57_Material,breccia,,http://vocab.getty.edu/page/aat%2F300011425
E57_Material,calcite,,http://vocab.getty.edu/page/aat%2F300011078
E57_Material,chert,,http://vocab.getty.edu/page/aat%2F300011141
E57_Material,clay,,http://vocab.getty.edu/page/aat%2F300010439
E57_Material,copper,,http://vocab.getty.edu/aat/300011020
E57_Material,diorite,,https://archives.arce.org/louvre-egy/material/diorite
E57_Material,dolomite,,http://vocab.getty.edu/page/aat%2F300209942
E57_Material,ebony,,http://vocab.getty.edu/page/aat%2F300012055
E57_Material,elephant ivory,,http://vocab.getty.edu/aat/300011857
E57_Material,feldspar,,http://vocab.getty.edu/page/aat%2F300011087
E57_Material,fired clay,,http://vocab.getty.edu/aat/300010669
E57_Material,flint,,http://vocab.getty.edu/aat/300011143
E57_Material,fruit,,http://vocab.getty.edu/page/aat%2F300011868
E57_Material,gabbro,,http://vocab.getty.edu/page/aat%2F300011230
E57_Material,glazed composition,,http://vocab.getty.edu/page/aat%2F300265183
E57_Material,gneiss,,http://vocab.getty.edu/page/aat%2F300011438
E57_Material,gold,,http://vocab.getty.edu/page/aat%2F300011021
E57_Material,granite,,http://vocab.getty.edu/page/aat%2F300011183
E57_Material,hematite,,http://vocab.getty.edu/page/aat%2F300011105
E57_Material,hippopotamus ivory,,http://vocab.getty.edu/aat/300011857
E57_Material,human bone,,http://vocab.getty.edu/page/aat%2F300451454
E57_Material,human tissue,,https://vocab.getty.edu/aat/300379896
E57_Material,ivory,,http://vocab.getty.edu/aat/300011857
E57_Material,lead,,http://vocab.getty.edu/page/aat%2F300011022
E57_Material,limestone,,http://vocab.getty.edu/aat/300011286
E57_Material,linen,,http://vocab.getty.edu/page/aat%2F300014069
E57_Material,malachite,,http://vocab.getty.edu/page/aat%2F300011123
E57_Material,marble,,http://vocab.getty.edu/aat/300011443
E57_Material,metasediment,,
E57_Material,mineral,,http://vocab.getty.edu/page/aat%2F300011068
E57_Material,mudstone,,http://vocab.getty.edu/page/aat%2F300011280
E57_Material,ochre,,http://vocab.getty.edu/page/aat%2F300152219
E57_Material,organic,,http://vocab.getty.edu/page/aat%2F300191632
E57_Material,plaster,,http://vocab.getty.edu/page/aat%2F300014922
E57_Material,porphyry,,http://vocab.getty.edu/aat/300011238
E57_Material,pottery,,http://vocab.getty.edu/page/aat%2F300010666
E57_Material,quartz,,http://vocab.getty.edu/page/aat%2F300011132
E57_Material,quartzite,,http://vocab.getty.edu/page/aat%2F300011623
E57_Material,reed,,https://vocab.getty.edu/aat/300011878
E57_Material,rock crystal,,http://vocab.getty.edu/page/aat%2F300011152
E57_Material,sandstone,,http://vocab.getty.edu/page/aat%2F300011376
E57_Material,schist,,http://vocab.getty.edu/page/aat%2F300011626
E57_Material,serpentine,,http://vocab.getty.edu/aat/300210275
E57_Material,slate,,http://vocab.getty.edu/page/aat%2F300011646
E57_Material,steatite,,http://vocab.getty.edu/page/aat%2F300011665
E57_Material,volcanic ash,,
E57_Material,wood,,http://vocab.getty.edu/aat/300011914
