CIDOC_Class,Louvre_Raw_String,Target_Vocabulary (THOT/AAT/WD),URI_Link
E39_Actor,Percy Edward Newberry,,
E39_Actor,Petrie,,
E39_Actor,Prof John Garstang,,
E39_Actor,Prof Walter B Emery,,
E39_Actor,Qaa,,
E39_Actor,Quirke,,
E39_Actor,R J Moss & Co,,
E39_Actor,Rev Chauncey Murch,,
E39_Actor,Rev George Denis Nash,,
E39_Actor,Rev Walter L Lawson,,
E39_Actor,Rev William MacGregor,,
E39_Actor,Rev. Greville John Chester,,
E39_Actor,Russmann,,
E39_Actor,Sabu,,
E39_Actor,Semerkhet,,
E39_Actor,Sir Charles Holled Smith KCMG CB,,
E39_Actor,Sir Ernest A T Wallis Budge,,
E39_Actor,Sir Gaston C C Maspero,,
E39_Actor,Sir John Gardner Wilkinson,,
E39_Actor,Sir William Matthew Flinders Petrie,,
E39_Actor,Sotheby's,,
E39_Actor,Spencer,,
E39_Actor,Spink & Son Ltd,,
E39_Actor,Strudwick,,
E39_Actor,Taylor,,
E39_Actor,The British Museum,,
E39_Actor,Thomas Eric Peet,,
E39_Actor,University of Oxford,,
E39_Actor,Vandenbeusch,,
E39_Actor,Victoria and Albert Museum,,
E39_Actor,W L O Campbell,,
E39_Actor,Walter Myers,,
E39_Actor,Wellcome Institute for the History of Medicine,,
E39_Actor,Wepwawet,,
E4_Period,1st Dynasty,,
E4_Period,2nd Dynasty,,
E4_Period,A-Group Culture,,
E4_Period,Early Dynastic,,
E4_Period,First Intermediate,,
E4_Period,Late Predynastic,,
E4_Period,Levantine,,
E4_Period,Naqada II,,
E4_Period,Naqada III,,
E4_Period,Predynastic,,
E53_Place,Abydos,,
E53_Place,Akhmim,,
E53_Place,"Badari, el-",,
E53_Place,"Ballas, el-",,
E53_Place,Edfu,,
E53_Place,Egypt,,
E53_Place,Faras,,
E53_Place,Gebelein,,
E53_Place,Hierakonpolis,,
E53_Place,Hiw,,
E53_Place,Kom el-Ahmar,,
E53_Place,Lower Egypt,,
E53_Place,"Mahasna, el-",,
E53_Place,Maidum,,
E53_Place,Memphis,,
E53_Place,Mostagedda,,
E53_Place,Naqada,,
E53_Place,Not on display,,
E53_Place,Nubia,,
E53_Place,Qaw el-Kebir,,
E53_Place,Room 64 - Early Egypt,,
E53_Place,"Room 64 - Early Egypt, Display Case 1",,
E53_Place,"Room 64 - Early Egypt, Display Case 10",,
E53_Place,"Room 64 - Early Egypt, Display Case 12",,
E53_Place,"Room 64 - Early Egypt, Display Case 3",,
E53_Place,"Room 64 - Early Egypt, Display Case 4",,
E53_Place,"Room 64 - Early Egypt, Display Case 5",,
E53_Place,"Room 64 - Early Egypt, Display Case 6",,
E53_Place,"Room 64 - Early Egypt, Display Case 7",,
E53_Place,"Room 64 - Early Egypt, Display Case 8",,
E53_Place,"Room 64 - Early Egypt, Display Case 9",,
E53_Place,"Room 65 - Sudan, Egypt and Nubia, Dispaly Case 3",,
E53_Place,Saqqara,,
E53_Place,Tarkhan,,
E53_Place,Tell el-Yahudiya,,
E53_Place,Temple of Osiris-Khentimentu,,
E53_Place,Thebes,,
E53_Place,Tomb of Aha,,
E53_Place,Tomb of Anedjib,,
E53_Place,Tomb of Den,,
E53_Place,Tomb of Djer,,
E53_Place,Tomb of Djet,,
E53_Place,Tomb of Merneit,,
E53_Place,Tomb of Qaa,,
E53_Place,Tomb of Semerkhet,,
E53_Place,Umm el-Qaab,,
E53_Place,Upper Egypt,,
E55_Type,BM Number,,
E55_Type,Bequest,,
E55_Type,Denomination,,
E55_Type,Donation,,
E55_Type,Excavation/Discovery,,
E55_Type,Miscellaneous number,,
E55_Type,Previous Ownership/Excavator,,
E55_Type,Previous owner/ex-collection number,,
E55_Type,Purchase,,
E55_Type,Registration Number,,
E55_Type,Weight,,
E55_Type,basketry,,
E55_Type,beaten,,
E55_Type,bent,,
E55_Type,bevelled,,
E55_Type,bored,,
E55_Type,burnished,,
E55_Type,carved,,
E55_Type,cast,,
E55_Type,cut,,
E55_Type,dowelled,,
E55_Type,drilled,,
E55_Type,dyed,,
E55_Type,flaked,,
E55_Type,folded,,
E55_Type,gilded,,
E55_Type,glazed,,
E55_Type,gold-plated,,
E55_Type,ground,,
E55_Type,hammered,,
E55_Type,handmade,,
E55_Type,impressed,,
E55_Type,incised,,
E55_Type,inlaid,,
E55_Type,looped,,
E55_Type,mould-made,,
E55_Type,painted,,
E55_Type,perforated,,
E55_Type,pierced,,
E55_Type,pigmented,,
E55_Type,polished,,
E55_Type,punched,,
E55_Type,retouched,,
E55_Type,sawn,,
E55_Type,scraped,,
E55_Type,scratched,,
E55_Type,slipped,,
E55_Type,stained,,
E55_Type,undercut,,
E55_Type,wheel-made,,
E57_Material,agate,,
E57_Material,andesite,,
E57_Material,aragonite,,
E57_Material,arsenical copper,,
E57_Material,basalt,,
E57_Material,bone,,
E57_Material,breccia,,
E57_Material,calcite,,
E57_Material,chert,,
E57_Material,clay,,
E57_Material,copper,,
E57_Material,diorite,,
E57_Material,dolomite,,
E57_Material,ebony,,
E57_Material,elephant ivory,,
E57_Material,feldspar,,
E57_Material,fired clay,,
E57_Material,flint,,
E57_Material,fruit,,
E57_Material,gabbro,,
E57_Material,glazed composition,,
E57_Material,gneiss,,
E57_Material,gold,,
E57_Material,granite,,
E57_Material,hematite,,
E57_Material,hippopotamus ivory,,
E57_Material,human bone,,
E57_Material,human tissue,,
E57_Material,ivory,,
E57_Material,lead,,
E57_Material,limestone,,
E57_Material,linen,,
E57_Material,malachite,,
E57_Material,marble,,
E57_Material,metasediment,,
E57_Material,mineral,,
E57_Material,mudstone,,
E57_Material,ochre,,
E57_Material,organic,,
E57_Material,plaster,,
E57_Material,porphyry,,
E57_Material,pottery,,
E57_Material,quartz,,
E57_Material,quartzite,,
E57_Material,reed,,
E57_Material,rock crystal,,
E57_Material,sandstone,,
E57_Material,schist,,
E57_Material,serpentine,,
E57_Material,slate,,
E57_Material,steatite,,
E57_Material,volcanic ash,,
E57_Material,wood,,
