Group,CIDOC_Class,Louvre_Raw_String,BM_Raw_String,Local_URI_Name,URI_Link,Match,Review
58,E39_Actor,,Hall,Dr Harry Reginald Holland Hall,http://www.wikidata.org/entity/Q2028056,bm only,several actor labels merged - confirm same person
59,E39_Actor,,Dr Walter Leo Hildburgh,Dr Walter Leo Hildburgh,http://www.wikidata.org/entity/Q18910975,bm only,
60,E39_Actor,,Edward Louis Gruning,Edward Louis Gruning,http://www.wikidata.org/entity/Q21556045,bm only,
61,E39_Actor,Egypt Exploration Fund,,Egypt Exploration Society,http://www.wikidata.org/entity/Q1299166,both datasets,several actor labels merged - confirm same person
61,E39_Actor,,Egypt Exploration Fund,Egypt Exploration Society,http://www.wikidata.org/entity/Q1299166,both datasets,several actor labels merged - confirm same person
61,E39_Actor,,Egypt Exploration Society,Egypt Exploration Society,http://www.wikidata.org/entity/Q1299166,both datasets,several actor labels merged - confirm same person
62,E39_Actor,,Egyptian Research Account,ucl,http://www.wikidata.org/entity/Q193196,bm only,
63,E39_Actor,Elke Roik,,Elke Roik,http://viaf.org/viaf/12984287,louvre only,
64,E39_Actor,Emmanuel Sougez,,Emmanuel Sougez,http://www.wikidata.org/entity/Q1338406,louvre only,
65,E39_Actor,empreinte Kaplony 17,,empreinte Kaplony 17,,louvre only,
66,E39_Actor,Etienne Drioton,,Etienne Drioton,http://www.wikidata.org/entity/Q1041754,louvre only,
67,E39_Actor,,F G Hilton Price,F G Hilton Price,http://www.wikidata.org/entity/Q18877376,bm only,
68,E39_Actor,,Fletcher,Alexandra Fletcher,,bm only,
69,E39_Actor,Francesco Tiradritti,,Francesco Tiradritti,http://www.wikidata.org/entity/Q73266184,louvre only,
70,E39_Actor,,Friedman,Florence Dunn Friedman,,bm only,
71,E39_Actor,Frédéric Servajean,,Frédéric Servajean,http://www.wikidata.org/entity/Q3090206,louvre only,
72,E39_Actor,Félix Michel,,Félix Michel,,louvre only,
73,E39_Actor,Gabrielle Charrak,,Gabrielle Charrak,http://viaf.org/viaf/2174693177026740008,louvre only,
74,E39_Actor,Gay Robins,,Gay Robins,http://www.wikidata.org/entity/Q28921800,louvre only,
75,E39_Actor,Geneviève Bresc-Bautier,,Geneviève Bresc-Bautier,http://www.wikidata.org/entity/Q3100605,louvre only,
76,E39_Actor,Geneviève Galliano,,Geneviève Galliano,http://www.wikidata.org/entity/Q113783540,louvre only,
77,E39_Actor,Geneviève Pierrat-Bonnefois,,Geneviève Pierrat-Bonnefois,http://www.wikidata.org/entity/Q111956810,louvre only,
78,E39_Actor,George Hart,,George Hart,http://www.wikidata.org/entity/Q106310764,louvre only,
79,E39_Actor,,"George Herbert, 5th Earl of Carnarvon","George Herbert, 5th Earl of Carnarvon",http://www.wikidata.org/entity/Q158765,bm only,
80,E39_Actor,Georges Bénédite,,Georges Bénédite,http://www.wikidata.org/entity/Q1508830,louvre only,
81,E39_Actor,Georges Posener,,Georges Posener,http://www.wikidata.org/entity/Q879125,louvre only,
82,E39_Actor,,Giovanni Anastasi,Giovanni Anastasi,http://www.wikidata.org/entity/Q5563656,bm only,
83,E39_Actor,,Giza Museum,Giza Museum,http://www.wikidata.org/entity/Q2399429,bm only,
84,E39_Actor,,Gray,P.H.K Gray,,bm only,
85,E39_Actor,Guillaume Grandjean,,Guillaume Grandjean,http://viaf.org/viaf/82160243009952432756,louvre only,
86,E39_Actor,Guillemette Andreu,,Guillemette Andreu,http://www.wikidata.org/entity/Q3120521,louvre only,
87,E39_Actor,,Guy Brunton,Guy Brunton,http://www.wikidata.org/entity/Q5622122,bm only,
88,E39_Actor,Günter Dreyer,,Günter Dreyer,http://www.wikidata.org/entity/Q74546,louvre only,
89,E39_Actor,,H L Hansard,H L Hansard,http://www.wikidata.org/entity/Q75622390,bm only,
90,E39_Actor,Hans Wolfgang Müller,,Hans Wolfgang Müller,http://www.wikidata.org/entity/Q15449541,louvre only,
91,E39_Actor,Hedwig Fechheimer,,Hedwig Fechheimer,http://www.wikidata.org/entity/Q19766250,louvre only,
92,E39_Actor,,Hef,Hef,http://www.wikidata.org/entity/Q7350423,bm only,
93,E39_Actor,Heinrich Balcz,,Heinrich Balcz,http://www.wikidata.org/entity/Q20752057,louvre only,
94,E39_Actor,Heinrich Schäfer,,Heinrich Schäfer,http://www.wikidata.org/entity/Q98050,louvre only,
95,E39_Actor,Hemaka (chancelier royal),Hemaka,Hemaka (chancelier royal),http://www.wikidata.org/entity/Q1604676,both datasets,
96,E39_Actor,Henri Gauthier,,Henri Gauthier,http://www.wikidata.org/entity/Q3131174,louvre only,
97,E39_Actor,Henri Loffet,,Henri Loffet,http://www.wikidata.org/entity/Q113810874,louvre only,
98,E39_Actor,,Henri Édouard Naville,Henri Édouard Naville,http://www.wikidata.org/entity/Q115746,bm only,
99,E39_Actor,Henri-Gustave Lengellé Tardy,,Henri-Gustave Lengellé Tardy,http://www.wikidata.org/entity/Q3130392,louvre only,
100,E39_Actor,Henry George Fischer,,Henry George Fischer,http://www.wikidata.org/entity/Q1475068,louvre only,
101,E39_Actor,,Henry Salt,Henry Salt,http://www.wikidata.org/entity/Q733780,bm only,
102,E39_Actor,,Hill,Hill,http://www.wikidata.org/entity/Q47091452,bm only,
103,E39_Actor,,Horus,Horus,http://www.wikidata.org/entity/Q84122,bm only,
104,E39_Actor,Hourig Sourouzian,,Hourig Sourouzian,http://www.wikidata.org/entity/Q106463570,louvre only,
105,E39_Actor,Hélène Bouillon,,Hélène Bouillon,http://www.wikidata.org/entity/Q112562639,louvre only,
106,E39_Actor,Hélène Guichard,,Hélène Guichard,http://www.wikidata.org/entity/Q59921423,louvre only,
107,E39_Actor,Ian Shaw,,Ian Shaw,http://www.wikidata.org/entity/Q2527709,louvre only,
108,E39_Actor,Inedj (?),,Inedj (?),,louvre only,
109,E39_Actor,Isabelle Franco,,Isabelle Franco,,louvre only,
110,E39_Actor,Jacques Livet,,Jacques Livet,http://www.wikidata.org/entity/Q111971642,louvre only,
111,E39_Actor,Jacques Vandier,,Jacques Vandier,http://www.wikidata.org/entity/Q1454840,louvre only,
112,E39_Actor,James F. R. Masters,,James F. R. Masters,,louvre only,
113,E39_Actor,Jaromir Malek,,Jaromir Malek,http://www.wikidata.org/entity/Q3162763,louvre only,
114,E39_Actor,Jean Capart,,Jean Capart,http://www.wikidata.org/entity/Q2373298,louvre only,
115,E39_Actor,Jean Leclant,,Jean Leclant,http://www.wikidata.org/entity/Q329349,louvre only,
116,E39_Actor,Jean Sainte Fare Garnot,,Jean Sainte Fare Garnot,http://www.wikidata.org/entity/Q3174519,louvre only,
117,E39_Actor,Jean Vercoutter,,Jean Vercoutter,http://www.wikidata.org/entity/Q869643,louvre only,
118,E39_Actor,Jean-Christophe Piot,,Jean-Christophe Piot,http://www.wikidata.org/entity/Q35130039,louvre only,
119,E39_Actor,Jean-Louis de Cenival,,Jean-Louis de Cenival,http://www.wikidata.org/entity/Q2405896,louvre only,
120,E39_Actor,Jean-Luc Bovot,,Jean-Luc Bovot,http://viaf.org/viaf/249705819,louvre only,
121,E39_Actor,Jean-Luc Martinez,,Jean-Luc Martinez,http://www.wikidata.org/entity/Q3167200,louvre only,
122,E39_Actor,Jeanne Vandier d'Abbadie,,Jeanne Vandier d'Abbadie,http://www.wikidata.org/entity/Q3176108,louvre only,
123,E39_Actor,Jochem Kahl,,Jochem Kahl,http://www.wikidata.org/entity/Q1691027,louvre only,
124,E39_Actor,,Joseph Sams,Joseph Sams,http://www.wikidata.org/entity/Q18810990,bm only,
125,E39_Actor,Juliette Barthélémy,,Juliette Barthélémy,http://viaf.org/viaf/51174436837610930691,louvre only,
126,E39_Actor,Jürgen von Beckerath,,Jürgen von Beckerath,http://www.wikidata.org/entity/Q66417,louvre only,
127,E39_Actor,,Ka,Ka,http://www.wikidata.org/entity/Q312730,bm only,
128,E39_Actor,Kamil O. Kuraszkiewicz,,Kamil O. Kuraszkiewicz,http://viaf.org/viaf/102014521,louvre only,
129,E39_Actor,Kazimierz Michalowski,,Kazimierz Michalowski,http://www.wikidata.org/entity/Q1399403,louvre only,
130,E39_Actor,Kurt Lange,,Kurt Lange,http://viaf.org/viaf/78562147,louvre only,
131,E39_Actor,Kurt Sethe,,Kurt Sethe,http://www.wikidata.org/entity/Q70079,louvre only,
132,E39_Actor,Laure Bazin Rizzo,,Laure Bazin Rizzo,http://www.wikidata.org/entity/Q133654426,louvre only,
133,E39_Actor,Leo H. Roeten,,Leo H. Roeten,http://www.wikidata.org/entity/Q113811213,louvre only,
134,E39_Actor,Lise Manniche,,Lise Manniche,http://www.wikidata.org/entity/Q98688930,louvre only,
135,E39_Actor,Ludwig Borchardt,,Ludwig Borchardt,http://www.wikidata.org/entity/Q60758,louvre only,
136,E39_Actor,Léon de Milloué,,Léon de Milloué,http://www.wikidata.org/entity/Q16743102,louvre only,
137,E39_Actor,"M. Guimet, Émile Étienne",,"M. Guimet, Émile Étienne",http://www.wikidata.org/entity/Q285963,louvre only,
138,E39_Actor,"M. Weill, Raymond Charles Isaac",,"M. Weill, Raymond Charles Isaac",http://viaf.org/viaf/22210945,louvre only,
139,E39_Actor,,MacGregor,MacGregor,http://www.wikidata.org/entity/Q2579853,bm only,
140,E39_Actor,Madoka Suzuki,,Madoka Suzuki,http://www.wikidata.org/entity/Q58800993,louvre only,
141,E39_Actor,Manuel Jover,,Manuel Jover,http://www.wikidata.org/entity/Q29307125,louvre only,
142,E39_Actor,Marc Étienne,,Marc Étienne,http://viaf.org/viaf/76496568,louvre only,
143,E39_Actor,Maria Ludwika Bernhard,,Maria Ludwika Bernhard,http://www.wikidata.org/entity/Q11769012,louvre only,
144,E39_Actor,Marianne Eaton-Krauss,,Marianne Eaton-Krauss,http://www.wikidata.org/entity/Q113734926,louvre only,
145,E39_Actor,Marie-Hélène Rutschowscaya,,Marie-Hélène Rutschowscaya,http://www.wikidata.org/entity/Q113777727,louvre only,
146,E39_Actor,Martin Odler,,Martin Odler,http://www.wikidata.org/entity/Q59201577,louvre only,
147,E39_Actor,Mathilde Sarret,,Mathilde Sarret,,louvre only,
148,E39_Actor,Matthieu Begon,,Matthieu Begon,http://viaf.org/viaf/171146029501135820906,louvre only,
149,E39_Actor,,Maurice Nahman,Maurice Nahman,http://www.wikidata.org/entity/Q126287625,bm only,
150,E39_Actor,Michelle C. Langley,,Michelle C. Langley,http://www.wikidata.org/entity/Q64005084,louvre only,
151,E39_Actor,,Miss Selima Harris,Selima Harris,,bm only,
152,E39_Actor,Mlle Puy Le Blanc,,Mlle Puy Le Blanc,,louvre only,
153,E39_Actor,,Mohammed Mohassib,Mohammed Mohassib,http://www.wikidata.org/entity/Q74810774,bm only,
154,E39_Actor,"Montet, Pierre Marie",,"Montet, Pierre Marie",http://www.wikidata.org/entity/Q689251,louvre only,several actor labels merged - confirm same person
154,E39_Actor,Pierre Montet,,"Montet, Pierre Marie",http://www.wikidata.org/entity/Q689251,louvre only,several actor labels merged - confirm same person
155,E39_Actor,,Mrs Alec Rea,Mrs. Alec Rea,,bm only,
156,E39_Actor,,Mrs Marion Whiteford Acworth JP,Mrs Marion Whiteford Acworth JP,,bm only,
157,E39_Actor,,Mustriki Singis,Mustriki Singis,,bm only,
158,E39_Actor,Musée Guimet,,Musée Guimet,http://viaf.org/viaf/138403787,louvre only,
159,E39_Actor,Mérytneith,Merneit,Mérytneith,http://www.wikidata.org/entity/Q230548,both datasets,
160,E39_Actor,,Narmer,Narmer,http://www.wikidata.org/entity/Q189582,bm only,
161,E39_Actor,Nathalie Bosson,,Nathalie Bosson,http://www.wikidata.org/entity/Q93225307,louvre only,
162,E39_Actor,Nathalie Couton-Perche,,Nathalie Couton-Perche,http://viaf.org/viaf/36163628527823461032,louvre only,
163,E39_Actor,,Nefer,Nefer,http://www.wikidata.org/entity/Q1800518,bm only,
164,E39_Actor,Neithhetep,Neithotep,Neithhetep,http://www.wikidata.org/entity/Q255585,both datasets,
165,E39_Actor,,Neumark,Neumark,,bm only,
166,E39_Actor,Nicolas Grimal,,Nicolas Grimal,http://www.wikidata.org/entity/Q1151126,louvre only,
167,E39_Actor,Paris Les collections du Louvre,,Paris Les collections du Louvre,,louvre only,
168,E39_Actor,,Parkinson,Parkinson,http://www.wikidata.org/entity/Q87256234,bm only,
169,E39_Actor,Pascale Dhaussy-Martinez,,Pascale Dhaussy-Martinez,http://viaf.org/viaf/5275159478054327990002,louvre only,
170,E39_Actor,Patrick F. Houlihan,,Patrick F. Houlihan,http://viaf.org/viaf/117463690,louvre only,
171,E39_Actor,,Peet,Thomas Eric Peet,http://www.wikidata.org/entity/Q2269194,bm only,several actor labels merged - confirm same person
171,E39_Actor,,Thomas Eric Peet,Thomas Eric Peet,http://www.wikidata.org/entity/Q2269194,bm only,several actor labels merged - confirm same person
172,E39_Actor,,Percy Edward Newberry,Percy Edward Newberry,http://www.wikidata.org/entity/Q1860948,bm only,
173,E39_Actor,Peter A. Clayton,,Peter A. Clayton,http://www.wikidata.org/entity/Q3376415,louvre only,
174,E39_Actor,Peter Kaplony,,Peter Kaplony,http://www.wikidata.org/entity/Q124885,louvre only,
175,E39_Actor,"Petrie, William Matthew Flinders",,Sir William Matthew Flinders Petrie,http://www.wikidata.org/entity/Q220130,both datasets,several actor labels merged - confirm same person
175,E39_Actor,William Matthew Flinders Petrie,,Sir William Matthew Flinders Petrie,http://www.wikidata.org/entity/Q220130,both datasets,several actor labels merged - confirm same person
175,E39_Actor,,Petrie,Sir William Matthew Flinders Petrie,http://www.wikidata.org/entity/Q220130,both datasets,several actor labels merged - confirm same person
175,E39_Actor,,Sir William Matthew Flinders Petrie,Sir William Matthew Flinders Petrie,http://www.wikidata.org/entity/Q220130,both datasets,several actor labels merged - confirm same person
176,E39_Actor,Philippe Germond,,Philippe Germond,http://viaf.org/viaf/39406476,louvre only,
177,E39_Actor,Pierre Adam,,Pierre Adam,http://www.wikidata.org/entity/Q932402,louvre only,
178,E39_Actor,Pierre Du Bourguet,,Pierre Du Bourguet,http://www.wikidata.org/entity/Q3387786,louvre only,
179,E39_Actor,Pierre Grandet,,Pierre Grandet,http://www.wikidata.org/entity/Q3385301,louvre only,
180,E39_Actor,,Prof John Garstang,Prof John Garstang,http://www.wikidata.org/entity/Q733602,bm only,
181,E39_Actor,,Prof Walter B Emery,Prof Walter B Emery,http://www.wikidata.org/entity/Q343387,bm only,
182,E39_Actor,Qaa,Qaa,Qaa,http://www.wikidata.org/entity/Q151819,both datasets,
183,E39_Actor,,R J Moss & Co,R J Moss & Co,,bm only,
184,E39_Actor,Renée Friedman,,Renée Friedman,http://www.wikidata.org/entity/Q2144921,louvre only,
185,E39_Actor,,Rev Chauncey Murch,Rev Chauncey Murch,http://www.wikidata.org/entity/Q115751531,bm only,
186,E39_Actor,,Rev George Denis Nash,Rev George Denis Nash,http://www.wikidata.org/entity/Q112499532,bm only,
187,E39_Actor,,Rev Walter L Lawson,Rev Walter L Lawson,,bm only,
188,E39_Actor,,Rev William MacGregor,Rev William MacGregor,http://www.wikidata.org/entity/Q18880356,bm only,
189,E39_Actor,,Rev. Greville John Chester,Rev. Greville John Chester,http://www.wikidata.org/entity/Q15732077,bm only,
190,E39_Actor,Richard H. Wilkinson,,Richard H. Wilkinson,http://www.wikidata.org/entity/Q583026,louvre only,
191,E39_Actor,Richard-Alain Jean,,Richard-Alain Jean,http://viaf.org/viaf/170405887,louvre only,
192,E39_Actor,Roland May,,Roland May,,louvre only,
193,E39_Actor,Romain Perrin,,Romain Perrin,http://www.wikidata.org/entity/Q131844610,louvre only,
194,E39_Actor,Rosalind L.B. Moss,,Rosalind L.B. Moss,http://www.wikidata.org/entity/Q15130156,louvre only,
195,E39_Actor,Rudolf Anthes,,Rudolf Anthes,http://www.wikidata.org/entity/Q2172342,louvre only,
196,E39_Actor,,Russmann,Edna Russmann,,bm only,
197,E39_Actor,,Sabu,Sabu,,bm only,
198,E39_Actor,Sally B. Johnson,,Sally B. Johnson,http://viaf.org/viaf/93240321,louvre only,
199,E39_Actor,Sanders Müskens,,Sanders Müskens,,louvre only,
200,E39_Actor,Simon Delvaux,,Simon Delvaux,http://viaf.org/viaf/315250774,louvre only,
201,E39_Actor,,Sir Charles Holled Smith KCMG CB,Sir Charles Holled Smith KCMG CB,http://www.wikidata.org/entity/Q108162473,bm only,
202,E39_Actor,,Sir Ernest A T Wallis Budge,Sir Ernest A T Wallis Budge,http://www.wikidata.org/entity/Q2316289,bm only,
203,E39_Actor,,Sir Gaston C C Maspero,Sir Gaston C C Maspero,http://www.wikidata.org/entity/Q311816,bm only,
204,E39_Actor,,Sir John Gardner Wilkinson,Sir John Gardner Wilkinson,http://www.wikidata.org/entity/Q923032,bm only,
205,E39_Actor,Sophie Labbé-Toutée,,Sophie Labbé-Toutée,http://viaf.org/viaf/305816470,louvre only,
206,E39_Actor,,Sotheby's,Sotheby's,http://www.wikidata.org/entity/Q654762,bm only,
207,E39_Actor,,Spencer,Spencer,http://www.wikidata.org/entity/Q2830521,bm only,
208,E39_Actor,,Spink & Son Ltd,Spink & Son Ltd,http://www.wikidata.org/entity/Q11080868,bm only,
209,E39_Actor,Stephen G. Quirke,Quirke,Stephen G. Quirke,http://www.wikidata.org/entity/Q7610300,both datasets,
210,E39_Actor,,Strudwick,Strudwick,http://www.wikidata.org/entity/Q111908363,bm only,
211,E39_Actor,Sydney Hervé Aufrère,,Sydney Hervé Aufrère,http://www.wikidata.org/entity/Q3506826,louvre only,
212,E39_Actor,Sémerkhet,Semerkhet,Sémerkhet,http://www.wikidata.org/entity/Q151805,both datasets,
213,E39_Actor,,Taylor,Taylor,http://www.wikidata.org/entity/Q112483463,bm only,
214,E39_Actor,,The British Museum,The British Museum,http://www.wikidata.org/entity/Q6373,bm only,
215,E39_Actor,Thierry De Putter,,Thierry De Putter,http://www.wikidata.org/entity/Q83968197,louvre only,
216,E39_Actor,Thierry Pautot,,Thierry Pautot,http://viaf.org/viaf/53970703,louvre only,
217,E39_Actor,Tom Hare,,Tom Hare,http://viaf.org/viaf/294286082,louvre only,
218,E39_Actor,,University of Oxford,University of Oxford,http://www.wikidata.org/entity/Q34433,bm only,
219,E39_Actor,"untel (dignitaire, administrateur-adj-mer)",,"untel (dignitaire, administrateur-adj-mer)",,louvre only,
220,E39_Actor,Ute Rummel,,Ute Rummel,http://www.wikidata.org/entity/Q113775284,louvre only,
221,E39_Actor,,Vandenbeusch,marie vandenbeusch,,bm only,
222,E39_Actor,,Victoria and Albert Museum,Victoria and Albert Museum,http://www.wikidata.org/entity/Q213322,bm only,
223,E39_Actor,,W L O Campbell,W L O Campbell,,bm only,
224,E39_Actor,W. Vivian Davies,Davies,W. Vivian Davies,http://viaf.org/viaf/307196467,both datasets,
225,E39_Actor,,Walter Myers,Walter Myers,,bm only,
226,E39_Actor,Walther Wolf,,Walther Wolf,http://www.wikidata.org/entity/Q2547506,louvre only,
227,E39_Actor,,Wellcome Institute for the History of Medicine,Wellcome Institute for the History of Medicine,http://www.wikidata.org/entity/Q19600144,bm only,
228,E39_Actor,,Wepwawet,Wepwawet,http://www.wikidata.org/entity/Q372560,bm only,
229,E39_Actor,Werner Forman,,Werner Forman,http://www.wikidata.org/entity/Q1308849,louvre only,
230,E39_Actor,Whitney M. Davis,,Whitney M. Davis,http://www.wikidata.org/entity/Q52698732,louvre only,
231,E39_Actor,Yann Tristant,,Yann Tristant,http://www.wikidata.org/entity/Q113734492,louvre only,
232,E39_Actor,Âha,Aha,Âha,http://www.wikidata.org/entity/Q106771,both datasets,
233,E39_Actor,Égypte Les origines de l'écriture en Mésopotamie,,Égypte Les origines de l'écriture en Mésopotamie,,louvre only,
234,E39_Actor,Élisabeth Delange,,Élisabeth Delange,http://www.wikidata.org/entity/Q113774602,louvre only,
235,E39_Actor,Évelyne Faivre-Martin,,Évelyne Faivre-Martin,http://viaf.org/viaf/59256394,louvre only,
236,E4_Period,,2nd Dynasty,2nd Dynasty,http://thot.philo.ulg.ac.be/concept/thot-153,bm only,
237,E4_Period,,A-Group Culture,A-Group Culture,http://www.wikidata.org/entity/Q277797,bm only,
238,E4_Period,Anedjib,,Anedjib,http://www.wikidata.org/entity/Q111079,louvre only,
239,E4_Period,Den,,Den,http://thot.philo.ulg.ac.be/concept/thot-149,louvre only,
240,E4_Period,Djer,,Djer,http://thot.philo.ulg.ac.be/concept/thot-147,louvre only,
241,E4_Period,Djet,,Djet,http://www.wikidata.org/entity/Q151828,louvre only,
242,E4_Period,,Early Dynastic,Early Dynastic,http://thot.philo.ulg.ac.be/concept/thot-142,bm only,
243,E4_Period,,First Intermediate,First Intermediate,http://thot.philo.ulg.ac.be/concept/thot-194,bm only,
244,E4_Period,Ière dynastie,,1st Dynasty,http://thot.philo.ulg.ac.be/concept/thot-143,both datasets,
244,E4_Period,Ière dynastie,,1st Dynasty,http://thot.philo.ulg.ac.be/concept/thot-143,both datasets,
244,E4_Period,,1st Dynasty,1st Dynasty,http://thot.philo.ulg.ac.be/concept/thot-143,both datasets,
245,E4_Period,,Late Predynastic,Late Predynastic,,bm only,
246,E4_Period,,Levantine,Levantine,,bm only,
247,E4_Period,,Naqada II,Naqada II,http://thot.philo.ulg.ac.be/concept/thot-134,bm only,
